ID,StartDate,discrimination,internalized-homophobia,tests-six-months,never-heard-of-prep,self-esteem,,,,,,,,,,,,,,,,
109,21-Apr-2018 04:03:25,2.89,3.33,0,0,27,,,,,,,,,,,,,,,,
110,21-Apr-2018 04:41:25,3,3.33,0,0,25,,,,,,,,,,,,,,,,
111,21-Apr-2018 06:03:39,3,3.33,0,0,25,,,,,,,,,,,,,,,,
112,21-Apr-2018 04:21:02,2.78,3.33,0,0,24,,,,,,,,,,,,,,,,
113,21-Apr-2018 05:34:27,2.78,3.33,0,0,22,,,,,,,,,,,,,,,,
114,18-Apr-2018 05:09:52,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
115,18-Apr-2018 05:34:04,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
123,18-Apr-2018 03:03:18,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
124,18-Apr-2018 03:18:32,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
125,18-Apr-2018 03:45:04,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
126,18-Apr-2018 04:01:28,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
127,18-Apr-2018 05:02:42,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
128,18-Apr-2018 05:16:29,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
129,18-Apr-2018 05:28:38,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
130,18-Apr-2018 05:38:47,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
131,18-Apr-2018 05:57:30,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
132,18-Apr-2018 06:17:52,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
133,20-Apr-2018 14:32:14,3.44,3.33,0,0,31,,,,,,,,,,,,,,,,
149,20-Apr-2018 17:38:18,3,3.33,0,0,23,,,,,,,,,,,,,,,,
215,18-Apr-2018 05:21:03,3.44,3.33,0,0,28,,,,,,,,,,,,,,,,
216,20-Apr-2018 14:45:25,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
217,21-Apr-2018 20:18:11,3.44,3.33,0,0,23,,,,,,,,,,,,,,,,
220,20-Apr-2018 18:47:43,2.89,3.33,0,0,25,,,,,,,,,,,,,,,,
221,21-Apr-2018 02:53:46,2.67,3.33,0,0,28,,,,,,,,,,,,,,,,
227,18-Apr-2018 10:33:45,3.78,3.33,1,1,18,,,,,,,,,,,,,,,,
228,20-Apr-2018 15:15:45,2.78,3.33,0,0,28,,,,,,,,,,,,,,,,
229,21-Apr-2018 04:20:54,3.11,3.33,0,0,20,,,,,,,,,,,,,,,,
247,18-Apr-2018 01:08:38,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
255,21-Apr-2018 08:06:42,2.44,3.33,0,1,26,,,,,,,,,,,,,,,,
266,20-Apr-2018 22:26:36,3.89,3.33,1,0,22,,,,,,,,,,,,,,,,
